 retail_chain_id |      centre_id      | retailer_id |                              name                              
              23 | doncaster           |       35315 | Cue
              23 | belconnen           |       17413 | Cue
              23 | carousel            |        1034 | Cue
              23 | fountaingate        |       49355 | Cue
              23 | burwood             |         739 | Cue
              23 | sydney              |       42137 | Cue
              23 | westlakes           |       22314 | Cue
              23 | carindale           |       47934 | Cue
              25 | parramatta          |       41052 | Diva
              25 | hurstville          |       34622 | Diva 
              25 | knox                |       48560 | Diva
              25 | carousel            |       43256 | Diva Superstore
              25 | whitfordcity        |       38582 | Diva
              25 | airportwest         |       25898 | Diva
              25 | tuggerah            |       20334 | Diva
              25 | southland           |       21114 | Diva
              25 | kotara              |       26009 | Diva
              25 | westlakes           |       51973 | Diva
              25 | carindale           |       20690 | Diva
              25 | teatreeplaza        |       52038 | Diva
              25 | fountaingate        |       23018 | Diva
              25 | marion              |       21099 | Diva
              25 | chatswood           |       32786 | Diva
              25 | carousel            |       21524 | Diva
              25 | burwood             |       26306 | Diva
              25 | bondijunction       |       21043 | Diva
              25 | chermside           |       26098 | Diva
              25 | geelong             |       26095 | Diva
              25 | eastgardens         |       16032 | Diva
              25 | doncaster           |       15811 | Diva
              25 | gardencity          |       20386 | Diva
              26 | burwood             |       42781 | Dotti
              26 | chermside           |       30769 | Dotti
              26 | geelong             |       26405 | Dotti
              26 | kotara              |       31689 | Dotti
              26 | sydney              |       42276 | Dotti
              26 | carindale           |       40758 | Dotti
              26 | southland           |       48331 | Dotti
              26 | warringahmall       |       48995 | Dotti
              26 | marion              |       19228 | Dotti
              26 | knox                |       48617 | Dotti
              26 | penrith             |       27623 | Dotti
              26 | hornsby             |       38586 | Dotti
              26 | chatswood           |       40101 | Dotti
              26 | doncaster           |       34328 | Dotti
              26 | liverpool           |       28800 | Dotti
              26 | fountaingate        |       27562 | Dotti
              26 | woden               |       50137 | Dotti
              26 | miranda             |        2900 | Dotti
              26 | carousel            |       27093 | Dotti
              26 | bondijunction       |       40453 | Dotti
              26 | gardencity          |       27880 | Dotti
              26 | teatreeplaza        |       28036 | Dotti
              26 | innaloo             |        1109 | Dotti
              26 | whitfordcity        |       38321 | Dotti
              27 | knox                |       48594 | General Pants Co.
              27 | sydney              |       42093 | General Pants Co.
              27 | chatswood           |        1791 | General Pants Co.
              27 | gardencity          |       34300 | General Pants Co.
              27 | fountaingate        |       49345 | General Pants Co.
              27 | carindale           |       48228 | General Pants Co.
              27 | teatreeplaza        |       52028 | General Pants Co.
              27 | bondijunction       |        4523 | General Pants Co.
              27 | parramatta          |        4308 | General Pants Co.
              27 | liverpool           |       49522 | General Pants Co.
              27 | chermside           |       15731 | General Pants Co.
              27 | miranda             |        2894 | General Pants Co.
              27 | southland           |        3448 | General Pants Co.
              27 | burwood             |         713 | General Pants Co.
              27 | hornsby             |        1541 | General Pants Co.
              27 | penrith             |       24743 | General Pants Co.
              27 | warringahmall       |       48898 | General Pants Co.
              27 | kotara              |       31596 | General Pants Co.
              27 | marion              |       39313 | General Pants Co.
              28 | chatswood           |        1868 | Jacqui E
              28 | hurstville          |        4015 | Jacqui E
              28 | teatreeplaza        |        3763 | Jacqui E
              28 | chermside           |        1246 | Jacqui E
              28 | whitfordcity        |       21837 | Jacqui E
              28 | carindale           |        5298 | Jacqui E
              28 | tuggerah            |        2435 | Jacqui E
              28 | gardencity          |       18798 | Jacqui E
              28 | fountaingate        |        4624 | Jacqui E
              28 | penrith             |       24761 | Jacqui E
              28 | southland           |        3533 | Jacqui E
              28 | miranda             |        2948 | Jacqui E
              28 | warringahmall       |       49000 | Jacqui E
              28 | geelong             |       17991 | Jacqui E
              28 | doncaster           |       35417 | Jacqui E
              28 | sydney              |       42255 | Jacqui E
              28 | marion              |       17188 | Jacqui E
              28 | hornsby             |        1572 | Jacqui E
              28 | parramatta          |        4350 | Jacqui E
              28 | burwood             |       23974 | Jacqui E
              28 | carousel            |        1035 | Jacqui E
              28 | westlakes           |       22315 | Jacqui E
              28 | sydneycentralplaza  |       18121 | Jacqui E
              28 | knox                |       48622 | Jacqui-E
              28 | helensvale          |       25836 | Jacqui E
              28 | kotara              |       18611 | Jacqui E
              28 | woden               |       25683 | Jacqui E
              28 | belconnen           |       17459 | Jacqui E
              30 | northlakes          |       32039 | Jay Jays
              30 | plentyvalley        |       33576 | Jay Jays
              30 | fountaingate        |       43767 | Jay Jays
              30 | woden               |       25684 | Jay Jays
              30 | innaloo             |       26010 | Jay Jays
              30 | miranda             |        2981 | Jay Jays 
              30 | hurstville          |        4061 | Jay Jays
              30 | doncaster           |       34357 | Jay Jays
              30 | parramatta          |        4276 | Jay Jays
              30 | hornsby             |        1608 | Jay Jays
              30 | marion              |       17204 | Jay Jays
              30 | burwood             |         670 | Jay Jays 
              30 | kotara              |       34248 | Jay Jays
              30 | warringahmall       |       48900 | Jay Jays
              30 | liverpool           |       45784 | Jay Jays
              30 | penrith             |       24764 | Jay Jays
              30 | airportwest         |          53 | Jay Jays
              30 | belconnen           |       17461 | Jay Jays
              30 | helensvale          |       25833 | Jay Jays
              30 | mtdruitt            |        5115 | Jay Jays 
              30 | knox                |       48599 | Jay Jays
              30 | southland           |        3506 | Jay Jays 
              30 | gardencity          |       18799 | Jay Jays
              30 | carindale           |        5441 | Jay Jays 
              30 | tuggerah            |        2471 | Jay Jays
              30 | carousel            |         916 | Jay Jays 
              30 | westlakes           |       22929 | Jay Jays
              30 | teatreeplaza        |       16577 | Jay Jays
              30 | chermside           |        1208 | Jay Jays 
              31 | kotara              |       18602 | Jeanswest
              31 | chermside           |        1281 | Jeanswest
              31 | liverpool           |       45785 | Jeanswest
              31 | strathpine          |         424 | Jeanswest
              31 | liverpool           |        3210 | Jeanswest
              31 | geelong             |       18001 | Jeanswest
              31 | burwood             |         754 | Jeanswest
              31 | eastgardens         |        4959 | Jeanswest
              31 | whitfordcity        |       21841 | Jeanswest
              31 | chatswood           |       20723 | Jeanswest
              31 | airportwest         |          99 | Jeanswest 
              31 | marion              |       17172 | Jeanswest- Level 1
              31 | plentyvalley        |       37592 | Jeanswest Express
              31 | miranda             |       34417 | Jeanswest
              31 | marion              |       52241 | Jeanswest- Level 2
              31 | innaloo             |        1163 | Jeanswest
              31 | hornsby             |        1545 | Jeanswest
              31 | doncaster           |       34321 | Jeanswest
              31 | penrith             |       24765 | Jeanswest
              31 | knox                |       48600 | Jeanswest
              31 | southland           |        3508 | Jeanswest
              31 | bondijunction       |       37869 | Jeanswest
              31 | teatreeplaza        |        3717 | Jeanswest
              31 | gardencity          |       18800 | Jeanswest
              31 | warringahmall       |       48901 | Jeanswest
              31 | helensvale          |       25412 | Jeanswest
              31 | northlakes          |       18424 | Jeanswest
              31 | woden               |       25685 | Jeanswest
              31 | tuggerah            |       30617 | Jeanswest 
              31 | hurstville          |        4009 | Jeanswest
              31 | westlakes           |       22309 | Jeanswest
              31 | mtdruitt            |       29667 | Jeanswest
              31 | carousel            |         918 | Jeanswest
              31 | belconnen           |       17462 | Jeanswest
              31 | warrawong           |         626 | Jeanswest
